Word	POS	Joint Probability	
door	NN	0.000265245	
general	JJ	0.000263522	
different	JJ	0.000263522	
told	VBD	0.000263522	
war	NN	0.000262661	
itself	PRP	0.0002618	
felt	VBD	0.0002618	
certain	JJ	0.000260939	
York	NNP	0.000260078	
sense	NN	0.000259216	
find	VB	0.000259216	
enough	RB	0.000257494	
God	NNP	0.000257494	
asked	VBD	0.000253188	
others	NNS	0.000253188	
matter	NN	0.000253188	
form	NN	0.000251466	
later	RB	0.000249743	
mind	NN	0.00024716	
example	NN	0.00024716	
3	CD	0.00024716	
action	NN	0.00024716	
don't	VBP	0.000246299	
gave	VBD	0.000245437	
only	JJ	0.000245437	
found	VBD	0.000244576	
best	JJS	0.000244576	
so	IN	0.000244576	
feet	NNS	0.000243715	
human	JJ	0.000243715	
line	NN	0.000242854	
come	VB	0.00024027	
taken	VBN	0.00024027	
law	NN	0.000238548	
With	IN	0.000238548	
hands	NNS	0.000237687	
seen	VBN	0.000237687	
name	NN	0.000236826	
local	JJ	0.000235103	
better	JJR	0.000235103	
That	DT	0.000234242	
government	NN	0.000234242	
across	IN	0.000233381	
themselves	PRP	0.00023252	
car	NN	0.00023252	
Now	RB	0.000231659	
words	NNS	0.000231659	
history	NN	0.000230797	
body	NN	0.000230797	
really	RB	0.000229936	
anything	NN	0.000228214	
turned	VBD	0.000228214	
death	NN	0.000227353	
period	NN	0.000226491	
times	NNS	0.00022563	
early	JJ	0.000224769	
word	NN	0.000224769	
money	NN	0.000223047	
one	NN	0.000223047	
right	NN	0.000223047	
city	NN	0.000223047	
I'm	NNP	0.000222185	
State	NNP	0.000222185	
information	NN	0.000222185	
together	RB	0.000222185	
quite	RB	0.000222185	
whether	IN	0.000222185	
having	VBG	0.000222185	
President	NNP	0.000221324	
week	NN	0.000221324	
already	RB	0.000221324	
experience	NN	0.000219602	
political	JJ	0.000218741	
shall	MD	0.000218741	
white	JJ	0.000218741	
whole	JJ	0.00021788	
yet	RB	0.00021788	
seems	VBZ	0.000217018	
less	JJR	0.000216157	
real	JJ	0.000216157	
whose	WP$	0.000215296	
today	NN	0.000211851	
After	IN	0.000211851	
moment	NN	0.000211851	
first	RB	0.000211851	
found	VBN	0.000211851	
became	VBD	0.00021099	
above	IN	0.000210129	
field	NN	0.000209268	
five	CD	0.000208407	
service	NN	0.000208407	
why	WRB	0.000208407	
along	IN	0.000208407	
open	JJ	0.000207545	
problems	NNS	0.000206684	
available	JJ	0.000206684	
reason	NN	0.000205823	
position	NN	0.000204962	
question	NN	0.000204101	
probably	RB	0.000203239	
job	NN	0.000203239	
behind	IN	0.000202378	
areas	NNS	0.000202378	
special	JJ	0.000200656	
free	JJ	0.000199795	
making	VBG	0.000198934	
Miss	NNP	0.000198072	
major	JJ	0.000195489	
wife	NN	0.000195489	
called	VBN	0.000195489	
known	VBN	0.000193766	
am	VBP	0.000193766	
full	JJ	0.000193766	
boy	NN	0.000192905	
think	VB	0.000192044	
No	DT	0.000192044	
let	VB	0.000191183	
necessary	JJ	0.000190322	
policy	NN	0.000190322	
keep	VB	0.00018946	
economic	JJ	0.000188599	
voice	NN	0.000188599	
air	NN	0.000187738	
company	NN	0.000187738	
church	NN	0.000187738	
woman	NN	0.000186877	
TRUE	JJ	0.000186877	
able	JJ	0.000186016	
ago	RB	0.000186016	
age	NN	0.000185155	
<unk>	JJS	0.000185155	
community	NN	0.000184293	
office	NN	0.000184293	
perhaps	RB	0.000184293	
effect	NN	0.000183432	
national	JJ	0.000182571	
sure	JJ	0.00018171	
Some	DT	0.00018171	
rate	NN	0.000179987	
want	VBP	0.000179987	
left	VBD	0.000179987	
morning	NN	0.000179126	
common	JJ	0.000179126	
wanted	VBD	0.000177404	
All	DT	0.000177404	
Washington	NNP	0.000177404	
4	CD	0.000177404	
light	NN	0.000176543	
level	NN	0.000175682	
clear	JJ	0.000175682	
million	CD	0.000175682	
students	NNS	0.000175682	
right	JJ	0.00017482	
child	NN	0.00017482	
By	IN	0.00017482	
girl	NN	0.000173959	
evidence	NN	0.000173098	
result	NN	0.000173098	
town	NN	0.000173098	
study	NN	0.000173098	
short	JJ	0.000173098	
value	NN	0.000172237	
How	WRB	0.000171376	
although	IN	0.000170514	
An	DT	0.000170514	
think	VBP	0.000169653	
six	CD	0.000168792	
situation	NN	0.000168792	
party	NN	0.000167931	
tell	VB	0.000167931	
various	JJ	0.000167931	
surface	NN	0.000167931	
lines	NNS	0.00016707	
military	JJ	0.00016707	
strong	JJ	0.00016707	
America	NNP	0.00016707	
music	NN	0.00016707	
says	VBZ	0.00016707	
process	NN	0.00016707	
'	''	0.000166209	
idea	NN	0.000166209	
minutes	NNS	0.000166209	
Dr.	NNP	0.000165347	
personal	JJ	0.000165347	
stood	VBD	0.000165347	
tax	NN	0.000164486	
House	NNP	0.000164486	
gone	VBN	0.000163625	
schools	NNS	0.000163625	
land	NN	0.000163625	
society	NN	0.000163625	
usually	RB	0.000162764	
type	NN	0.000162764	
months	NNS	0.000161903	
mother	NN	0.000161903	
Not	RB	0.000161041	
cost	NN	0.000161041	
private	JJ	0.00016018	
century	NN	0.000159319	
Even	RB	0.000159319	
alone	RB	0.000158458	
basis	NN	0.000158458	
A	NNP	0.000157597	
nature	NN	0.000156735	
women	NNS	0.000156735	
values	NNS	0.000155874	
General	NNP	0.000155874	
pressure	NN	0.000155874	
wrote	VBD	0.000155874	
become	VB	0.000155874	
look	VB	0.000155874	
greater	JJR	0.000155874	
come	VBN	0.000155013	
conditions	NNS	0.000154152	
West	NNP	0.000154152	
South	NNP	0.000153291	
road	NN	0.000153291	
center	NN	0.000153291	
attention	NN	0.00015243	
control	NN	0.00015243	
particular	JJ	0.00015243	
ground	NN	0.00015243	
soon	RB	0.000151568	
force	NN	0.000151568	
I'll	NNP	0.000151568	
book	NN	0.000151568	
education	NN	0.000150707	
modern	JJ	0.000149846	
help	VB	0.000149846	
hours	NNS	0.000148985	
Since	IN	0.000148985	
change	NN	0.000148124	
single	JJ	0.000148124	
1960	CD	0.000148124	
space	NN	0.000147262	
board	NN	0.000146401	
stage	NN	0.000146401	
including	VBG	0.000146401	
art	NN	0.000146401	
heart	NN	0.000146401	
However	RB	0.000146401	
person	NN	0.000146401	
put	VBD	0.00014554	
except	IN	0.00014554	
called	VBD	0.00014554	
say	VBP	0.00014554	
miles	NNS	0.00014554	
provide	VB	0.00014554	
less	RBR	0.000144679	
else	RB	0.000144679	
plan	NN	0.000143818	
makes	VBZ	0.000143818	
recent	JJ	0.000143818	
front	NN	0.000142957	
simply	RB	0.000142957	
shown	VBN	0.000142957	
view	NN	0.000142957	
amount	NN	0.000142957	
individual	JJ	0.000141234	
Department	NNP	0.000141234	
class	NN	0.000141234	
St.	NNP	0.000141234	
<unk>	IN	0.000141234	
equipment	NN	0.000141234	
National	NNP	0.000140373	
&	CC	0.000140373	
college	NN	0.000140373	
doing	VBG	0.000140373	
near	IN	0.000140373	
need	NN	0.000140373	
third	JJ	0.000139512	
looking	VBG	0.000139512	
everything	NN	0.000139512	
trying	VBG	0.000139512	
Why	WRB	0.000139512	
industry	NN	0.000138651	
set	VBN	0.000138651	
total	JJ	0.000138651	
had	VBN	0.000138651	
U.S.	NNP	0.000138651	
terms	NNS	0.000137789	
basic	JJ	0.000137789	
fire	NN	0.000137789	
difficult	JJ	0.000137789	
costs	NNS	0.000136928	
War	NNP	0.000136928	
picture	NN	0.000136928	
complete	JJ	0.000136928	
nor	CC	0.000136928	
sort	NN	0.000136928	
getting	VBG	0.000136067	
dead	JJ	0.000136067	
low	JJ	0.000136067	
floor	NN	0.000135206	
taking	VBG	0.000135206	
From	IN	0.000135206	
beyond	IN	0.000135206	
especially	RB	0.000134345	
use	VB	0.000134345	
material	NN	0.000134345	
black	JJ	0.000134345	
coming	VBG	0.000133484	
hard	JJ	0.000133484	
spirit	NN	0.000133484	
cent	NN	0.000133484	
religious	JJ	0.000133484	
off	IN	0.000132622	
father	NN	0.000132622	
England	NNP	0.000132622	
paper	NN	0.000131761	
figure	NN	0.000131761	
property	NN	0.000131761	
written	VBN	0.000131761	
natural	JJ	0.0001309	
Secretary	NNP	0.0001309	
10	CD	0.0001309	
sometimes	RB	0.0001309	
final	JJ	0.000130039	
growth	NN	0.000130039	
Her	PRP$	0.000129178	
Congress	NNP	0.000129178	
higher	JJR	0.000128316	
entire	JJ	0.000128316	
expected	VBN	0.000128316	
love	NN	0.000128316	
story	NN	0.000127455	
difference	NN	0.000127455	
simple	JJ	0.000127455	
countries	NNS	0.000127455	
cases	NNS	0.000126594	
William	NNP	0.000126594	
friends	NNS	0.000126594	
put	VB	0.000126594	
American	NNP	0.000126594	
started	VBD	0.000125733	
similar	JJ	0.000125733	
required	VBN	0.000125733	
hair	NN	0.000125733	
thus	RB	0.000125733	
brought	VBD	0.000125733	
street	NN	0.000125733	
effort	NN	0.000124872	
half	NN	0.000124872	
hour	NN	0.000124872	
forces	NNS	0.00012401	
future	NN	0.000123149	
states	NNS	0.000123149	
market	NN	0.000123149	
Here	RB	0.000123149	
whom	WP	0.000123149	
5	CD	0.000122288	
particularly	RB	0.000122288	
Government	NNP	0.000121427	
addition	NN	0.000121427	
results	NNS	0.000121427	
walked	VBD	0.000121427	
means	NNS	0.000121427	
statement	NN	0.000121427	
My	PRP$	0.000121427	
Kennedy	NNP	0.000120566	
production	NN	0.000120566	
work	VB	0.000120566	
letter	NN	0.000120566	
range	NN	0.000120566	
past	JJ	0.000120566	
son	NN	0.000119705	
knowledge	NN	0.000119705	
weeks	NNS	0.000119705	
bad	JJ	0.000119705	
left	VBN	0.000119705	
girls	NNS	0.000119705	
moral	JJ	0.000119705	
showed	VBD	0.000118843	
bring	VB	0.000118843	
moved	VBD	0.000118843	
methods	NNS	0.000118843	
East	NNP	0.000118843	
size	NN	0.000118843	
fine	JJ	0.000118843	
programs	NNS	0.000118843	
ideas	NNS	0.000118843	
stock	NN	0.000117982	
held	VBD	0.000117982	
purpose	NN	0.000117982	
over	RP	0.000117982	
directly	RB	0.000117982	
table	NN	0.000117982	
make	VBP	0.000117982	
feeling	NN	0.000117121	
due	JJ	0.000117121	
data	NNS	0.000117121	
no	RB	0.000117121	
population	NN	0.000117121	
method	NN	0.000117121	
normal	JJ	0.00011626	
strength	NN	0.00011626	
ready	JJ	0.00011626	
Island	NNP	0.00011626	
foreign	JJ	0.00011626	
1961	CD	0.000115399	
such	PDT	0.000115399	
It's	NNP	0.000115399	
nearly	RB	0.000115399	
likely	JJ	0.000115399	
food	NN	0.000115399	
wall	NN	0.000115399	
late	JJ	0.000115399	
City	NNP	0.000115399	
questions	NNS	0.000114537	
comes	VBZ	0.000114537	
research	NN	0.000114537	
member	NN	0.000114537	
merely	RB	0.000114537	
Yet	CC	0.000113676	
summer	NN	0.000113676	
During	IN	0.000113676	
therefore	RB	0.000113676	
<unk>	JJR	0.000113676	
color	NN	0.000113676	
issue	NN	0.000113676	
North	NNP	0.000113676	
using	VBG	0.000113676	
direction	NN	0.000113676	
working	VBG	0.000113676	
husband	NN	0.000112815	
sound	NN	0.000112815	
trouble	NN	0.000112815	
finally	RB	0.000112815	
go	VBP	0.000112815	
used	VBD	0.000112815	
English	NNP	0.000112815	
month	NN	0.000111954	
rest	NN	0.000111954	
didn't	VBP	0.000111954	
physical	JJ	0.000111954	
sat	VBD	0.000111954	
temperature	NN	0.000111954	
suddenly	RB	0.000111954	
section	NN	0.000111954	
George	NNP	0.000111093	
involved	VBN	0.000111093	
meeting	NN	0.000111093	
tried	VBD	0.000111093	
show	VB	0.000111093	
points	NNS	0.000111093	
So	RB	0.000111093	
literature	NN	0.000111093	
chance	NN	0.000111093	
instead	RB	0.000111093	
effective	JJ	0.000110232	
actually	RB	0.000110232	
support	NN	0.000110232	
services	NNS	0.000110232	
below	IN	0.000110232	
anyone	NN	0.000110232	
peace	NN	0.000110232	
former	JJ	0.000110232	
theory	NN	0.000110232	
right	RB	0.00010937	
record	NN	0.00010937	
ways	NNS	0.000108509	
defense	NN	0.000108509	
Federal	NNP	0.000107648	
French	JJ	0.000107648	
list	NN	0.000107648	
systems	NNS	0.000107648	
groups	NNS	0.000107648	
efforts	NNS	0.000107648	
president	NN	0.000107648	
become	VBN	0.000107648	
sales	NNS	0.000107648	
University	NNP	0.000106787	
lot	NN	0.000106787	
I've	NNP	0.000106787	
friend	NN	0.000106787	
piece	NN	0.000106787	
movement	NN	0.000106787	
Although	IN	0.000105926	
manner	NN	0.000105926	
living	NN	0.000105926	
needed	VBN	0.000105926	
training	NN	0.000105926	
feel	VB	0.000105926	
ran	VBD	0.000105926	
wide	JJ	0.000105926	
truth	NN	0.000105926	
cold	JJ	0.000105064	
treatment	NN	0.000105064	
wrong	JJ	0.000105064	
plant	NN	0.000105064	
game	NN	0.000105064	
series	NN	0.000105064	
performance	NN	0.000105064	
boys	NNS	0.000105064	
throughout	IN	0.000105064	
leave	VB	0.000105064	
larger	JJR	0.000105064	
numbers	NNS	0.000104203	
somewhat	RB	0.000104203	
reaction	NN	0.000104203	
trade	NN	0.000104203	
see	VBP	0.000104203	
couple	NN	0.000104203	
C	NNP	0.000104203	
either	DT	0.000103342	
forms	NNS	0.000103342	
opportunity	NN	0.000103342	
'	POS	0.000103342	
While	IN	0.000103342	
myself	PRP	0.000103342	
J.	NNP	0.000103342	
didn't	VBZ	0.000103342	
court	NN	0.000103342	
report	NN	0.000102481	
bed	NN	0.000102481	
decision	NN	0.000102481	
considered	VBN	0.000102481	
indeed	RB	0.000102481	
generally	RB	0.000102481	
kept	VBD	0.000102481	
easy	JJ	0.000102481	
eye	NN	0.000102481	
labor	NN	0.000102481	
medical	JJ	0.00010162	
about	RB	0.00010162	
trial	NN	0.00010162	
Aj	NNP	0.00010162	
Europe	NNP	0.00010162	
Each	DT	0.00010162	
nation	NN	0.00010162	
clearly	RB	0.00010162	
red	JJ	0.00010162	
international	JJ	0.000100759	
influence	NN	0.000100759	
held	VBN	0.000100759	
nations	NNS	0.000100759	
immediately	RB	0.000100759	
persons	NNS	0.000100759	
increase	NN	0.000100759	
S.	NNP	0.000100759	
certainly	RB	0.000100759	
image	NN	0.000100759	
changes	NNS	0.000100759	
hot	JJ	9.99E-05	
Act	NNP	9.99E-05	
enough	JJ	9.99E-05	
based	VBN	9.99E-05	
appeared	VBD	9.99E-05	
responsibility	NN	9.99E-05	
meet	VB	9.99E-05	
volume	NN	9.90E-05	
character	NN	9.90E-05	
degree	NN	9.90E-05	
arms	NNS	9.90E-05	
technical	JJ	9.90E-05	
activity	NN	9.90E-05	
fiscal	JJ	9.90E-05	
respect	NN	9.90E-05	
dark	JJ	9.90E-05	
audience	NN	9.90E-05	
gives	VBZ	9.82E-05	
6	CD	9.82E-05	
types	NNS	9.82E-05	
help	NN	9.82E-05	
length	NN	9.82E-05	
freedom	NN	9.82E-05	
ones	NNS	9.82E-05	
return	NN	9.82E-05	
building	NN	9.82E-05	
concerned	VBN	9.82E-05	
industrial	JJ	9.82E-05	
window	NN	9.82E-05	
step	NN	9.82E-05	
saying	VBG	9.73E-05	
decided	VBD	9.73E-05	
further	JJ	9.73E-05	
15	CD	9.73E-05	
serious	JJ	9.73E-05	
pay	VB	9.73E-05	
believe	VBP	9.73E-05	
look	NN	9.65E-05	
blood	NN	9.65E-05	
seem	VB	9.65E-05	
answer	NN	9.65E-05	
up	IN	9.65E-05	
can't	VBP	9.65E-05	
beautiful	JJ	9.65E-05	
30	CD	9.65E-05	
steps	NNS	9.65E-05	
federal	JJ	9.65E-05	
quality	NN	9.65E-05	
means	VBZ	9.65E-05	
earth	NN	9.56E-05	
corner	NN	9.56E-05	
White	NNP	9.56E-05	
lost	VBN	9.56E-05	
Another	DT	9.56E-05	
back	NN	9.56E-05	
Brown	NNP	9.56E-05	
plane	NN	9.56E-05	
heard	VBD	9.56E-05	
according	VBG	9.56E-05	
Court	NNP	9.47E-05	
lower	JJR	9.47E-05	
hear	VB	9.47E-05	
charge	NN	9.47E-05	
horse	NN	9.47E-05	
Our	PRP$	9.47E-05	
activities	NNS	9.47E-05	
completely	RB	9.47E-05	
choice	NN	9.47E-05	
nuclear	JJ	9.47E-05	
reached	VBD	9.47E-05	
letters	NNS	9.47E-05	
seem	VBP	9.47E-05	
British	JJ	9.47E-05	
May	NNP	9.47E-05	
organization	NN	9.47E-05	
Church	NNP	9.47E-05	
parts	NNS	9.39E-05	
recently	RB	9.39E-05	
cars	NNS	9.39E-05	
importance	NN	9.30E-05	
aid	NN	9.30E-05	
effects	NNS	9.30E-05	
main	JJ	9.30E-05	
distance	NN	9.30E-05	
function	NN	9.30E-05	
extent	NN	9.21E-05	
pattern	NN	9.21E-05	
approach	NN	9.21E-05	
slowly	RB	9.21E-05	
8	CD	9.13E-05	
come	VBP	9.13E-05	
leaders	NNS	9.13E-05	
language	NN	9.13E-05	
student	NN	9.13E-05	
principle	NN	9.13E-05	
operation	NN	9.13E-05	
cities	NNS	9.13E-05	
farm	NN	9.13E-05	
Negro	NNP	9.13E-05	
cannot	NN	9.13E-05	
stopped	VBD	9.13E-05	
thought	NN	9.13E-05	
hall	NN	9.13E-05	
central	JJ	9.13E-05	
ahead	RB	9.13E-05	
First	NNP	9.13E-05	
additional	JJ	9.13E-05	
easily	RB	9.13E-05	
Thus	RB	9.13E-05	
attitude	NN	9.04E-05	
turn	VB	9.04E-05	
heavy	JJ	9.04E-05	
existence	NN	9.04E-05	
afternoon	NN	9.04E-05	
police	NN	9.04E-05	
Rhode	NNP	9.04E-05	
progress	NN	9.04E-05	
season	NN	9.04E-05	
care	NN	8.96E-05	
moving	VBG	8.96E-05	
pool	NN	8.96E-05	
apparently	RB	8.96E-05	
design	NN	8.96E-05	
growing	VBG	8.96E-05	
Union	NNP	8.96E-05	
role	NN	8.96E-05	
science	NN	8.96E-05	
I'd	NNP	8.87E-05	
analysis	NN	8.87E-05	
staff	NN	8.87E-05	
College	NNP	8.87E-05	
Their	PRP$	8.87E-05	
brought	VBN	8.87E-05	
specific	JJ	8.87E-05	
administration	NN	8.87E-05	
mouth	NN	8.87E-05	
reasons	NNS	8.78E-05	
World	NNP	8.78E-05	
obtained	VBN	8.78E-05	
No	UH	8.78E-05	
top	JJ	8.78E-05	
direct	JJ	8.78E-05	
factors	NNS	8.78E-05	
following	VBG	8.78E-05	
date	NN	8.78E-05	
elements	NNS	8.78E-05	
1959	CD	8.78E-05	
get	VBP	8.78E-05	
scene	NN	8.78E-05	
spring	NN	8.78E-05	
need	VBP	8.78E-05	
light	JJ	8.70E-05	
Only	RB	8.70E-05	
Most	JJS	8.70E-05	
around	RB	8.70E-05	
current	JJ	8.70E-05	
exactly	RB	8.70E-05	
Two	CD	8.70E-05	
sun	NN	8.70E-05	
interested	JJ	8.70E-05	
running	VBG	8.70E-05	
B	NNP	8.70E-05	
born	VBN	8.70E-05	
James	NNP	8.70E-05	
Sunday	NNP	8.70E-05	
original	JJ	8.70E-05	
evening	NN	8.61E-05	
price	NN	8.61E-05	
Don't	NNP	8.61E-05	
rates	NNS	8.61E-05	
want	VB	8.61E-05	
religion	NN	8.61E-05	
race	NN	8.61E-05	
radio	NN	8.61E-05	
Thomas	NNP	8.61E-05	
June	NNP	8.53E-05	
hold	VB	8.53E-05	
herself	PRP	8.53E-05	
sides	NNS	8.53E-05	
meaning	NN	8.53E-05	
talking	VBG	8.53E-05	
act	NN	8.53E-05	
hardly	RB	8.53E-05	
events	NNS	8.53E-05	
told	VBN	8.44E-05	
ball	NN	8.44E-05	
run	VB	8.44E-05	
Chicago	NNP	8.44E-05	
Street	NNP	8.44E-05	
machine	NN	8.44E-05	
facilities	NNS	8.44E-05	
remember	VB	8.44E-05	
designed	VBN	8.44E-05	
subject	NN	8.44E-05	
deal	NN	8.35E-05	
concern	NN	8.35E-05	
move	VB	8.35E-05	
